variable,test_mean,excel_mean,test_std,excel_std,mean_diff,abs_mean_diff,max_diff,rmse,correlation,rel_diff_pct,assessment
C_T,0.5872589466988728,0.6032582920674303,0.10083430582392487,0.12514513808515074,-0.015999345368557582,0.05139417060581224,0.30000000000000004,0.09187141305752694,0.6991280141784785,8.75153471815313,Very Good
H_B1,3.130211225909823,2.9547210672345297,1.5329724435129726,1.4851405398506945,0.175490158675293,0.5005567313649961,4.9441144,1.0908368535103135,0.745936935166456,15.991148687402237,Fair
H_ice,0.04539712134347826,0.052193744515339924,0.13322215457228917,0.14469767147588952,-0.006796623171861658,0.007118329996798525,0.15528933443879211,0.01968100750862309,0.9945670700302695,15.68013518509394,Very Good
H_snow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Excellent
I_w,98.19535281964572,97.22866621062802,89.7703049721892,90.30454154452784,0.9666866090177149,1.090492343961353,232.069,10.724940414721486,0.9929808103672034,1.1105335564751704,Poor
Q_la,-37.73029202945083,-36.73654421267235,45.72936890186412,45.95508820594825,-0.9937478167784751,7.147161587749716,180.40403539014972,14.119685632186396,0.9528129182919485,18.942767742616233,Poor
Q_lwa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Excellent
Q_lww,-357.2815463768116,-356.1540091801681,43.68977953446218,44.80206246898515,-1.1275371966435386,3.521141522083057,77.71133110698801,5.16884052275993,0.9938161604766231,0.9855369127767487,Fair
Q_se,-6.102993074965379,-4.72536057792624,22.601707863250525,22.562029520058637,-1.3776324970391383,3.9711969508076788,142.3364771230516,7.484320091092357,0.946939287849537,65.06966175494483,Fair
Qbot,-0.06005714354589368,-0.07590088310875995,2.721557751475229,1.9682012302350294,0.01584373956286623,0.5869018492798455,134.31496307437052,2.108510719707234,0.6380129464143481,977.239033740182,Fair
Qw,-98.450957886533,-97.72056225105241,88.70715767576566,89.17607468264,-0.7303956354805963,12.955844505964953,213.9042781903388,23.091068734963347,0.9663459757789677,13.159693703434417,Poor
T_B1,4.328099076006442,4.175789687169511,1.0807409285707612,0.9856051850159083,0.15230938883693113,0.3799208343497268,6.35060863360599,0.6800379732939383,0.7980617710740895,8.778006872714235,Good
T_ice,-0.4995951734164251,-0.5477884502900656,3.092168942225206,3.1671908202700108,0.04819327687364049,0.7194963270694461,57.33596233729466,4.016161298979524,0.17692251660518313,144.01586831779255,Fair
T_snow,-0.4995951734164251,-0.5477884502900656,3.092168942225206,3.1671908202700108,0.04819327687364049,0.7194963270694461,57.33596233729466,4.016161298979524,0.17692251660518313,144.01586831779255,Fair
Tb,5.34092187905475,4.700761518694849,3.2825289936532536,2.9269710037452508,0.6401603603599009,0.9108648476374861,8.663417847727889,1.4256402647680844,0.9221355080785621,17.054449929507175,Fair
Tm,8.53888283831401,7.18409229853854,6.625799739541199,5.4569144475185904,1.3547905397754696,1.4083589856080312,6.502508024113979,1.9933414386000767,0.9893288687230909,16.49348061421709,Fair
Ts,9.389670096111917,9.193037346914448,7.762396318144827,7.932636951595208,0.19663274919746912,0.7710909856615272,7.5485740760997295,1.1216452140232056,0.9903336006003028,8.212120103994081,Fair
Wconv,0.0025173591495974237,0.001918335452330742,0.0026350757813507083,0.0020754271457999445,0.0005990236972666816,0.000856603207145455,0.0060671,0.0013185118372672233,0.902499958188988,34.02785046712318,Excellent
h_ML,4.424180096586151,3.0442211981023712,1.6241493191034087,2.0390125112740716,1.3799588984837803,1.5218487497998885,5.9,2.0899261230572304,0.6540416846605859,34.39843579094348,Fair
ufr_a,0.12410799561191627,0.12180494564359462,0.11218353653356557,0.111962570205635,0.002303049968321633,0.006178163035818741,0.391001,0.029239464414788738,0.9661795676573597,4.97805399672859,Very Good
ufr_w,0.004369433880048309,0.004319346255372924,0.003937381813268883,0.003957142819668573,5.008762467538546e-05,0.00022256926695457145,0.013804079481383355,0.0010142441485043435,0.9670815009792412,5.093778120109937,Excellent
