,No,time,Ts,Tm,Tb,ufr_a,ufr_w,Wconv,Qw,Q_se,Q_la,I_w,Q_lwa,Q_lww,h_ML,C_T,H_B1,T_B1,Qbot,H_ice,H_snow,T_ice,T_snow
count,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0,6210.0
mean,3104.5,3104.5,9.193037346914448,7.18409229853854,4.700761518694849,0.12180494564359462,0.004319346255372924,0.001918335452330742,-97.72056225105241,-4.72536057792624,-36.73654421267236,97.22866621062802,0.0,-356.1540091801681,3.0442211981023712,0.6032582920674303,2.9547210672345297,4.175789687169511,-0.07590088310875998,0.052193744515339924,0.0,-0.5477884502900656,-0.5477884502900656
std,1792.8169175908622,1792.8169175908622,7.93327572737042,5.457353865681522,2.927206698153472,0.11197158599420748,0.003957461468686255,0.0020755942696191795,89.18325558813,22.563846328011017,45.95878874049593,90.31181331983812,0.0,44.805670156108526,2.039176702804013,0.1251552154003086,1.4852601308272422,0.9856845508963782,1.9683597196849165,0.14470932325925387,0.0,3.1674458583845504,3.1674458583845504
min,0.0,0.0,0.0,0.0,0.0,0.0,2.3290531535816425e-05,0.0,-551.9384214960687,-173.16932980379028,-315.8672213556189,0.0,0.0,-457.0511732400542,0.0,0.5,0.021327987212561572,1.1050217741056372,-29.980902902642114,0.0,0.0,-59.091513788327234,-59.091513788327234
25%,1552.25,1552.25,0.9802554749992396,1.0338742331095432,1.628979164446605,0.0032571881586413156,0.00016443763724951894,0.0,-157.6776201931516,-13.254839307364321,-57.83006928072738,12.270791999999998,0.0,-395.44442082055554,1.66095995148665,0.5,1.778340157975562,3.6886044541470824,-1.271399516541845,0.0,0.0,0.0,0.0
50%,3104.5,3104.5,8.07608687204683,7.62057143230362,5.199198146844935,0.10561456360507965,0.003692012428882428,0.001437941062216889,-87.23753902473692,-0.9433946122185091,-22.416282504259726,75.347205,0.0,-351.10795480854546,2.6100016350084854,0.5000670422969492,2.836206808653652,4.0,0.5707536121571823,0.0,0.0,0.0,0.0
75%,4656.75,4656.75,16.5622104296732,12.191784403407766,6.9291629108573005,0.18438772196317527,0.0064847672581937015,0.0036453537910703052,-11.725992294467662,0.1262589634702495,-0.03466093837033305,168.239604,0.0,-317.02673409046383,5.9,0.7430375212979594,4.8748002129721915,4.611149663251453,1.1516693623521388,0.0,0.0,0.0,0.0
max,6209.0,6209.0,27.240811173912732,17.910452221004505,11.200461970732931,1.1027564008990043,0.0393883468326186,0.008904213807775603,198.64858533954447,245.59347712305163,138.14776593675458,340.03125,0.0,-117.8550110294442,5.9,0.8,5.0,10.350608633605987,17.835880668247672,0.7773551324458483,0.0,0.0,0.0
